Unique Key,Created Date,Complaint Type,Descriptor,Status,Borough,Incident Zip,Incident Address,Latitude,Longitude,Location Type,Resolution Description
45050101,2019-12-01T02:04:01.000,Street Condition,Pothole,Open,MANHATTAN,10001,WEST   29 STREET,40.745668482774114,-73.9877188309367,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.
45049578,2019-12-01T01:43:32.000,Street Condition,Pothole,Open,BROOKLYN,11237,DE KALB AVENUE,40.7003631832377,-73.92311001437167,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.
45051238,2019-12-01T00:40:00.000,Street Light Condition,Street Light Out,Open,BRONX,10473,1702 BRUCKNER BOULEVARD,40.82459659791658,-73.86919109584936,,
45051229,2019-12-01T00:38:00.000,Street Light Condition,Street Light Out,Open,BRONX,,ZEREGA AVE,,,,
45054897,2019-12-01T00:36:00.000,Street Light Condition,Street Light Out,Open,BRONX,,-999 WHITTEMORE AVE,,,,
45049086,2019-11-30T23:55:55.000,Sidewalk Condition,Sidewalk Grating - Missing,In Progress,BROOKLYN,11214,130 BAY   38 STREET,40.59577382275379,-73.99065586524408,Sidewalk,
45052161,2019-11-30T23:52:02.000,Sidewalk Condition,Sidewalk Grating - Missing,In Progress,BROOKLYN,11214,126 BAY   38 STREET,40.59582871372967,-73.9905946435272,Sidewalk,
45050883,2019-11-30T23:32:00.000,Sewer,Sewer Backup (Use Comments) (SA),Open,BRONX,10460,1826 MARMION AVENUE,40.840912830766094,-73.8890979725774,,
45049579,2019-11-30T23:30:18.000,Street Condition,Pothole,Open,BRONX,10461,,40.84863288496662,-73.82799979296715,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.
45050102,2019-11-30T23:29:23.000,Street Condition,Pothole,Open,BRONX,10464,CITY ISLAND AVENUE,40.84880063878645,-73.78706843992641,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.
45049897,2019-11-30T23:29:00.000,Sewer,Street Flooding (SJ),Open,MANHATTAN,10019,680 5 AVENUE,40.76070228168007,-73.97563426303094,,
45054073,2019-11-30T23:28:30.000,Street Condition,Pothole,Open,BRONX,10465,DWIGHT PLACE,40.84649691847327,-73.8239752582006,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.
45051237,2019-11-30T23:23:00.000,Street Light Condition,Street Light Out,Open,BROOKLYN,11238,647 VANDERBILT AVENUE,40.677528960252396,-73.96889401596806,,
45054988,2019-11-30T23:20:00.000,Street Light Condition,Street Light Out,Open,BRONX,10461,2504 WESTCHESTER AVENUE,40.838870958972784,-73.84416509501247,,
45054987,2019-11-30T23:15:00.000,Street Light Condition,Street Light Out,Open,BRONX,10465,,40.828519305847,-73.84117935716411,,
45052310,2019-11-30T23:10:00.000,Street Light Condition,Street Light Out,Open,BRONX,,3185 MIDDLETOWN RD,,,,
